feature_name,Supergroup,MapSymbol,X,Y,Z,coord,val,strike,dip,gx,gy,gz,intrusion_contact_type,intrusion_side,intrusion_anisotropy,,,
fault_1,,,513912.006,5260856.862,161,0,0,,,,,,,,,,,
fault_1,,,513609.419,5261216.161,194,0,0,,,,,,,,,,,
fault_1,,,513405.237,5261436.027,221,0,0,,,,,,,,,,,
fault_1,,,513243.739,5261720.04,158,0,0,,,,,,,,,,,
fault_1,,,513165.775,5261937.227,162,0,0,,,,,,,,,,,
fault_1,,,512920.744,5262276.929,263,0,0,,,,,,,,,,,
fault_1,,,512681.281,5262599.925,261,0,0,,,,,,,,,,,
fault_1,,,512336.01,5262961.903,274,0,0,,,,,,,,,,,
fault_1,,,512102.117,5263195.796,297,0,0,,,,,,,,,,,
fault_1,,,511668.453,5263582.16,301,0,0,,,,,,,,,,,
fault_1,,,512920.744,5262276.929,263,0,,,,-0.83,-0.54,0.17,,,,,,
fault_1,,,512920.744,5262276.929,263,1,0,,,,,,,,,,,
fault_1,,,512920.744,5262276.929,263,1,,,,-0.15,-0.09,-0.98,,,,,,
fault_2,,,511614.761,5257865.83,478,0,0,,,,,,,,,,,
fault_2,,,511682.459,5257820.289,483,0,0,,,,,,,,,,,
fault_2,,,511853.928,5257722.33,549,0,0,,,,,,,,,,,
fault_2,,,512083.196,5257716.119,506,0,0,,,,,,,,,,,
fault_2,,,512310.67,5257705.489,514,0,0,,,,,,,,,,,
fault_2,,,513110.154,5257481.236,495,0,0,,,,,,,,,,,
fault_2,,,513625.774,5257375.349,416,0,0,,,,,,,,,,,
fault_2,,,514141.395,5257205.01,423,0,0,,,,,,,,,,,
fault_2,,,514348.563,5257122.143,412,0,0,,,,,,,,,,,
fault_2,,,514592.562,5256988.634,361,0,0,,,,,,,,,,,
fault_2,,,515112.786,5256740.032,334,0,0,,,,,,,,,,,
fault_2,,,515633.01,5256528.259,305,0,0,,,,,,,,,,,
fault_2,,,516272.932,5256334.901,354,0,0,,,,,,,,,,,
fault_2,,,516866.816,5256173.77,485,0,0,,,,,,,,,,,
fault_2,,,517216.701,5256095.506,573,0,0,,,,,,,,,,,
fault_2,,,517561.982,5255989.62,592,0,0,,,,,,,,,,,
fault_2,,,517759.944,5255865.319,532,0,0,,,,,,,,,,,
fault_2,,,517930.283,5255759.432,454,0,0,,,,,,,,,,,
fault_2,,,517994.735,5255722.602,427,0,0,,,,,,,,,,,
fault_2,,,518229.526,5255625.924,336,0,0,,,,,,,,,,,
fault_2,,,518600.129,5255517.735,256,0,0,,,,,,,,,,,
fault_2,,,518940.806,5255379.623,200,0,0,,,,,,,,,,,
fault_2,,,519037.485,5255333.585,200,0,0,,,,,,,,,,,
fault_2,,,515633.01,5256528.259,305,1,0,,,,,,,,,,,
fault_2,,,515633.01,5256528.259,305,1,,,,0.06,0.16,-0.98,,,,,,
fault_2,,,515112.786,5256740.032,334,0,,,,0.34,0.93,0.17,,,,,,
fault_3a,,,516769.198,5267002.653,61,0,0,,,,,,,,,,,
fault_3a,,,516896.859,5266819.561,62,0,0,,,,,,,,,,,
fault_3a,,,517316.795,5266129.186,120,0,0,,,,,,,,,,,
fault_3a,,,517952.526,5265552.876,102,0,0,,,,,,,,,,,
fault_3a,,,518025.648,5265196.928,104,0,0,,,,,,,,,,,
fault_3a,,,518008.85,5265109.581,120,0,0,,,,,,,,,,,
fault_3a,,,518043.232,5265038.874,125,0,0,,,,,,,,,,,
fault_3a,,,518149.056,5264789.432,125,0,0,,,,,,,,,,,
fault_3a,,,518406.057,5264419.048,135,0,0,,,,,,,,,,,
fault_3a,,,518708.411,5263563.008,100,0,0,,,,,,,,,,,
fault_3a,,,519063.677,5263215.301,70,0,0,,,,,,,,,,,
fault_3a,,,519305.561,5262867.594,77,0,0,,,,,,,,,,,
fault_3a,,,519555.003,5262238.32,64,0,0,,,,,,,,,,,
fault_3a,,,519691.062,5261724.318,65,0,0,,,,,,,,,,,
fault_3a,,,519736.415,5261202.757,56,0,0,,,,,,,,,,,
fault_3a,,,519834.68,5260809.697,41,0,0,,,,,,,,,,,
fault_3a,,,519783.5,5260431.072,56,0,0,,,,,,,,,,,
fault_3a,,,519728.856,5260023.576,84,0,0,,,,,,,,,,,
fault_3a,,,519728.856,5259759.016,92,0,0,,,,,,,,,,,
fault_3a,,,519863.858,5259422.293,102,0,0,,,,,,,,,,,
fault_3a,,,520099.24,5259093.837,105,0,0,,,,,,,,,,,
fault_3a,,,519305.561,5262867.594,77,1,0,,,,,,,,,,,
fault_3a,,,519305.561,5262867.594,77,1,,,,0.15,0.09,-0.98,,,,,,
fault_3a,,,519305.561,5262867.594,77,0,,,,0.85,0.49,0.17,,,,,,
fault_3b,,,520567.889,5258874.631,99,0,0,,,,,,,,,,,
fault_3b,,,520908.037,5258594.953,105,0,0,,,,,,,,,,,
fault_3b,,,521096.221,5258181.474,47,0,0,,,,,,,,,,,
fault_3b,,,521364.98,5257650.674,40,0,0,,,,,,,,,,,
fault_3b,,,521818.511,5256805.763,47,0,0,,,,,,,,,,,
fault_3b,,,521878.982,5256325.356,60,0,0,,,,,,,,,,,
fault_3b,,,521996.564,5255881.903,88,0,0,,,,,,,,,,,
fault_3b,,,522147.741,5255285.594,102,0,0,,,,,,,,,,,
fault_3b,,,522258.604,5254892.533,149,0,0,,,,,,,,,,,
fault_3b,,,522413.141,5254727.918,161,0,0,,,,,,,,,,,
fault_3b,,,522812.92,5254354.175,125,0,0,,,,,,,,,,,
fault_3b,,,522826.358,5254105.573,100,0,0,,,,,,,,,,,
fault_3b,,,522906.986,5253537.819,147,0,0,,,,,,,,,,,
fault_3b,,,523115.274,5253280.818,189,0,0,,,,,,,,,,,
fault_3b,,,523216.059,5252901.196,192,0,0,,,,,,,,,,,
fault_3b,,,523300.046,5252541.731,236,0,0,,,,,,,,,,,
fault_3b,,,523377.314,5252202.422,243,0,0,,,,,,,,,,,
fault_3b,,,523444.504,5251846.316,184,0,0,,,,,,,,,,,
fault_3b,,,523528.491,5251651.466,166,0,0,,,,,,,,,,,
fault_3b,,,523713.263,5251322.236,120,0,0,,,,,,,,,,,
fault_3b,,,523827.486,5251097.15,102,0,0,,,,,,,,,,,
fault_3b,,,522147.741,5255285.594,102,1,0,,,,,,,,,,,
fault_3b,,,522147.741,5255285.594,102,1,,,,0.17,0.03,-0.98,,,,,,
fault_3b,,,522147.741,5255285.594,102,0,,,,0.97,0.19,0.17,,,,,,
fault_3c,,,523679.668,5250667.136,130,0,0,,,,,,,,,,,
fault_3c,,,523310.124,5250062.427,214,0,0,,,,,,,,,,,
fault_3c,,,522990.973,5249196.519,177,0,0,,,,,,,,,,,
fault_3c,,,522802.842,5248931.119,193,0,0,,,,,,,,,,,
fault_3c,,,522658.384,5248753.066,210,0,0,,,,,,,,,,,
fault_3c,,,522386.265,5248588.451,257,0,0,,,,,,,,,,,
fault_3c,,,522261.964,5248487.667,273,0,0,,,,,,,,,,,
fault_3c,,,522114.146,5248265.94,338,0,0,,,,,,,,,,,
fault_3c,,,522033.518,5248091.247,378,0,0,,,,,,,,,,,
fault_3c,,,521855.466,5247731.782,372,0,0,,,,,,,,,,,
fault_3c,,,521717.726,5247392.473,316,0,0,,,,,,,,,,,
fault_3c,,,521593.425,5247076.681,265,0,0,,,,,,,,,,,
fault_3c,,,521425.451,5246878.471,254,0,0,,,,,,,,,,,
fault_3c,,,522658.384,5248753.066,210,0,,,,0.63,-0.75,0.17,,,,,,
fault_3c,,,522658.384,5248753.066,210,1,0,,,,,,,,,,,
fault_3c,,,522658.384,5248753.066,210,1,,,,0.11,-0.13,-0.98,,,,,,
fault_3d,,,522197.334,5244535.141,187,0,0,,,,,,,,,,,
fault_3d,,,522223.749,5244328.226,160,0,0,,,,,,,,,,,
fault_3d,,,522280.981,5244116.908,129,0,0,,,,,,,,,,,
fault_3d,,,522355.823,5243967.224,102,0,0,,,,,,,,,,,
fault_3d,,,522311.798,5243804.333,80,0,0,,,,,,,,,,,
fault_3d,,,522276.578,5243632.637,103,0,0,,,,,,,,,,,
fault_3d,,,522241.359,5243504.965,123,0,0,,,,,,,,,,,
fault_3d,,,522241.359,5243403.709,135,0,0,,,,,,,,,,,
fault_3d,,,522285.383,5243236.415,116,0,0,,,,,,,,,,,
fault_3d,,,522342.615,5243077.927,114,0,0,,,,,,,,,,,
fault_3d,,,522371.231,5242999.233,101,0,0,,,,,,,,,,,
fault_3d,,,522293.363,5242847.21,101,0,0,,,,,,,,,,,
fault_3d,,,522240.757,5242748.294,115,0,0,,,,,,,,,,,
fault_3d,,,522168.948,5242621.683,129,0,0,,,,,,,,,,,
fault_3d,,,522182.176,5242461.058,141,0,0,,,,,,,,,,,
fault_3d,,,522189.735,5242317.439,158,0,0,,,,,,,,,,,
fault_3d,,,522195.404,5242147.365,174,0,0,,,,,,,,,,,
fault_3d,,,522197.294,5241933.828,170,0,0,,,,,,,,,,,
fault_3d,,,522371.231,5242999.233,101,0,,,,0.98,0,0.17,,,,,,
fault_3d,,,522371.231,5242999.233,101,1,,,,0.17,0,-0.98,,,,,,
fault_3d,,,522371.231,5242999.233,101,1,0,,,,,,,,,,,
fault_3e,,,522907.353,5241668.796,93,0,0,,,,,,,,,,,
fault_3e,,,522930.03,5241305.971,87,0,0,,,,,,,,,,,
fault_3e,,,522960.265,5240844.881,74,0,0,,,,,,,,,,,
fault_3e,,,523028.295,5240308.202,95,0,0,,,,,,,,,,,
fault_3e,,,523103.883,5239990.731,85,0,0,,,,,,,,,,,
fault_3e,,,523194.59,5239590.111,81,0,0,,,,,,,,,,,
fault_3e,,,523353.325,5239008.08,45,0,0,,,,,,,,,,,
fault_3e,,,523028.295,5240308.202,95,0,,,,0.97,0.17,0.17,,,,,,
fault_3e,,,523028.295,5240308.202,95,1,,,,0.17,0.03,-0.98,,,,,,
fault_3e,,,523028.295,5240308.202,95,1,0,,,,,,,,,,,
fault_3f,,,520985.968,5243863.609,170,0,0,,,,,,,,,,,
fault_3f,,,520959.092,5243561.255,219,0,0,,,,,,,,,,,
fault_3f,,,520938.935,5243285.777,287,0,0,,,,,,,,,,,
fault_3f,,,520912.059,5242909.514,283,0,0,,,,,,,,,,,
fault_3f,,,520878.464,5242392.153,178,0,0,,,,,,,,,,,
fault_3f,,,520912.059,5241968.857,198,0,0,,,,,,,,,,,
fault_3f,,,521073.314,5241505.248,192,0,0,,,,,,,,,,,
fault_3f,,,521031.718,5240982.798,273,0,0,,,,,,,,,,,
fault_3f,,,521194.256,5240410.054,209,0,0,,,,,,,,,,,
fault_3f,,,521496.61,5239919.569,199,0,0,,,,,,,,,,,
fault_3f,,,521617.552,5239509.711,125,0,0,,,,,,,,,,,
fault_3f,,,520912.059,5241968.857,198,0,,,,0.98,0.1,0.17,,,,,,
fault_3f,,,520912.059,5241968.857,198,1,0,,,,,,,,,,,
fault_3f,,,520912.059,5241968.857,198,1,,,,0.17,0.02,-0.98,,,,,,
fault_4a,,,529584.254,5267126.04,169,0,0,,,,,,,,,,,
fault_4a,,,529863.502,5266784.656,153,0,0,,,,,,,,,,,
fault_4a,,,530775.996,5265978.849,117,0,0,,,,,,,,,,,
fault_4a,,,531744.793,5264930.642,71,0,0,,,,,,,,,,,
fault_4a,,,531995.583,5264775.969,86,0,0,,,,,,,,,,,
fault_4a,,,532282.381,5264581.057,93,0,0,,,,,,,,,,,
fault_4a,,,532463.37,5264416.775,93,0,0,,,,,,,,,,,
fault_4a,,,532574.748,5264280.337,89,0,0,,,,,,,,,,,
fault_4a,,,532892.175,5263754.077,89,0,0,,,,,,,,,,,
fault_4a,,,533112.734,5263304.636,93,0,0,,,,,,,,,,,
fault_4a,,,533297.985,5262952.635,131,0,0,,,,,,,,,,,
fault_4a,,,533484.048,5262673.634,122,0,0,,,,,,,,,,,
fault_4a,,,533776.176,5262254.632,50,0,0,,,,,,,,,,,
fault_4a,,,533868.49,5262089.132,56,0,0,,,,,,,,,,,
fault_4a,,,534079.555,5261674.628,73,0,0,,,,,,,,,,,
fault_4a,,,534374.372,5261162.623,86,0,0,,,,,,,,,,,
fault_4a,,,534474.124,5260932.121,84,0,0,,,,,,,,,,,
fault_4a,,,534548.812,5260654.119,80,0,0,,,,,,,,,,,
fault_4a,,,534745.877,5260301.117,74,0,0,,,,,,,,,,,
fault_4a,,,533112.734,5263304.636,93,0,,,,0.85,0.49,0.17,,,,,,
fault_4a,,,533112.734,5263304.636,93,1,,,,0.15,0.09,-0.98,,,,,,
fault_4a,,,533112.734,5263304.636,93,1,0,,,,,,,,,,,
fault_4b,,,535775.193,5258787.167,71,0,0,,,,,,,,,,,
fault_4b,,,535816.627,5258658.262,76,0,0,,,,,,,,,,,
fault_4b,,,535911.771,5258426.539,80,0,0,,,,,,,,,,,
